alarm_time,incident_type,description,response_time
2012-10-01 10:27:38 UTC,700,False alarm or false call  Other,2.62
2012-10-01 04:43:16 UTC,311,Medical assist  assist EMS crew,6.17
2012-09-30 16:14:01 UTC,322,Motor vehicle accident with injuries,1.53
2012-09-29 20:02:00 UTC,132,Road freight or transport vehicle fire,3.0
2012-09-29 14:14:00 UTC,745,Alarm system activation  no fire - unintentional,3.0
2012-09-27 18:41:34 UTC,744,Detector activation  no fire - unintentional,9.37
2012-09-27 07:27:33 UTC,311,Medical assist  assist EMS crew,4.72
2012-09-27 07:03:55 UTC,700,False alarm or false call  Other,7.1
2012-09-24 22:45:45 UTC,311,Medical assist  assist EMS crew,7.72
2012-09-24 15:34:53 UTC,151,Outside rubbish  trash or waste fire,0.58
2012-09-22 18:31:00 UTC,463,Vehicle accident  general cleanup,2.0
2012-09-22 10:50:00 UTC,322,Motor vehicle accident with injuries,1.0
2012-09-20 22:33:57 UTC,356,High-angle rescue,11.75
2012-09-20 14:11:00 UTC,132,Road freight or transport vehicle fire,1.0
2012-09-19 15:45:00 UTC,463,Vehicle accident  general cleanup,6.0
2012-09-19 07:04:50 UTC,300,Rescue  EMS incident  other,7.17
2012-09-18 10:47:21 UTC,412,Gas leak (natural gas or LPG),5.82
2012-09-17 03:12:00 UTC,321,EMS call  excluding vehicle accident with injury,9.0
2012-09-16 23:26:00 UTC,151,Outside rubbish  trash or waste fire,4.0
2012-09-16 20:31:00 UTC,500,Service Call  other,0.4
2012-09-16 08:54:00 UTC,700,False alarm or false call  Other,8.0
2012-09-15 15:36:50 UTC,311,Medical assist  assist EMS crew,6.95
2012-09-14 14:30:00 UTC,111,Building fire,22.0
2012-09-14 01:55:00 UTC,121,Fire in mobile home used as fixed residence,5.0
2012-09-13 22:17:00 UTC,600,Good intent call  Other,2.0
2012-09-13 15:43:00 UTC,322,Motor vehicle accident with injuries,3.0
2012-09-13 13:21:43 UTC,511,Lock-out,0.28
2012-09-13 07:48:51 UTC,311,Medical assist  assist EMS crew,2.02
2012-09-12 08:28:22 UTC,150,Outside rubbish fire  Other,0.38
2012-09-12 07:23:38 UTC,311,Medical assist  assist EMS crew,4.75
2012-09-12 07:00:43 UTC,324,Motor Vehicle Accident with no injuries,8.45
2012-09-11 03:55:00 UTC,311,Medical assist  assist EMS crew,5.0
2012-09-10 18:49:00 UTC,324,Motor Vehicle Accident with no injuries,8.0
2012-09-09 17:36:07 UTC,311,Medical assist  assist EMS crew,6.22
2012-09-09 11:16:29 UTC,311,Medical assist  assist EMS crew,8.48
2012-09-07 17:28:00 UTC,324,Motor Vehicle Accident with no injuries,2.0
2012-09-06 18:39:05 UTC,100,Fire  Other,0.57
2012-09-06 07:37:13 UTC,311,Medical assist  assist EMS crew,6.62
2012-09-05 16:28:00 UTC,324,Motor Vehicle Accident with no injuries,2.0
2012-09-05 14:15:17 UTC,321,EMS call  excluding vehicle accident with injury,4.23
2012-09-05 10:24:00 UTC,324,Motor Vehicle Accident with no injuries,2.0
2012-09-05 09:51:00 UTC,730,System malfunction  Other,6.0
2012-09-04 17:17:00 UTC,300,Rescue  EMS incident  other,5.0
2012-09-04 08:27:00 UTC,113,Cooking fire  confined to container,11.0
2012-09-03 21:17:20 UTC,311,Medical assist  assist EMS crew,7.47
2012-09-03 01:00:00 UTC,733,Smoke detector activation due to malfunction,12.0
2012-09-02 02:39:00 UTC,311,Medical assist  assist EMS crew,1.0
2012-09-01 08:29:00 UTC,321,EMS call  excluding vehicle accident with injury,4.0
2012-09-01 02:20:19 UTC,311,Medical assist  assist EMS crew,4.03
2012-08-31 23:01:52 UTC,131,Passenger vehicle fire,8.12
2012-08-31 16:14:28 UTC,700,False alarm or false call  Other,2.13
2012-08-30 04:19:25 UTC,311,Medical assist  assist EMS crew,10.02
2012-08-29 12:47:50 UTC,321,EMS call  excluding vehicle accident with injury,0.3
2012-08-28 16:05:51 UTC,321,EMS call  excluding vehicle accident with injury,3.67
2012-08-27 16:22:17 UTC,321,EMS call  excluding vehicle accident with injury,3.15
2012-08-27 01:35:31 UTC,341,Search for person on land,12.38
2012-08-26 21:22:00 UTC,100,Fire  Other,7.0
2012-08-26 14:34:00 UTC,150,Outside rubbish fire  Other,5.0
2012-08-25 03:41:10 UTC,311,Medical assist  assist EMS crew,3.68
2012-08-24 16:24:45 UTC,311,Medical assist  assist EMS crew,8.1
2012-08-24 13:11:54 UTC,311,Medical assist  assist EMS crew,2.93
2012-08-24 09:58:08 UTC,321,EMS call  excluding vehicle accident with injury,6.37
2012-08-23 08:35:00 UTC,311,Medical assist  assist EMS crew,6.0
2012-08-22 07:48:24 UTC,324,Motor Vehicle Accident with no injuries,1.6
2012-08-22 06:00:00 UTC,700,False alarm or false call  Other,18.38
2012-08-22 05:13:00 UTC,311,Medical assist  assist EMS crew,7.0
2012-08-21 15:39:00 UTC,352,Extrication of victim(s) from vehicle,5.0
2012-08-19 18:12:39 UTC,311,Medical assist  assist EMS crew,5.15
2012-08-19 09:20:01 UTC,311,Medical assist  assist EMS crew,7.73
2012-08-19 08:18:07 UTC,321,EMS call  excluding vehicle accident with injury,4.53
2012-08-18 13:02:00 UTC,324,Motor Vehicle Accident with no injuries,0.4
2012-08-18 10:11:00 UTC,311,Medical assist  assist EMS crew,6.0
2012-08-18 07:00:00 UTC,311,Medical assist  assist EMS crew,10.63
2012-08-17 08:45:52 UTC,553,Public service,3.87
2012-08-15 13:25:00 UTC,311,Medical assist  assist EMS crew,4.0
2012-08-15 10:30:29 UTC,321,EMS call  excluding vehicle accident with injury,2.52
2012-08-13 14:48:51 UTC,322,Motor vehicle accident with injuries,2.78
2012-08-13 09:08:01 UTC,140,Natural vegetation fire  Other,3.82
2012-08-12 00:57:17 UTC,600,Good intent call  Other,12.2
2012-08-11 15:31:30 UTC,143,Grass fire,4.08
2012-08-10 22:25:00 UTC,411,Gasoline or other flammable liquid spill,4.7
2012-08-09 19:49:00 UTC,321,EMS call  excluding vehicle accident with injury,6.0
2012-08-09 18:40:00 UTC,324,Motor Vehicle Accident with no injuries,4.0
2012-08-09 17:06:00 UTC,352,Extrication of victim(s) from vehicle,4.0
2012-08-09 08:04:00 UTC,322,Motor vehicle accident with injuries,5.0
2012-08-09 00:41:39 UTC,321,EMS call  excluding vehicle accident with injury,8.95
2012-08-08 09:15:36 UTC,550,Public service assistance  Other,0.4
2012-08-07 20:22:46 UTC,142,Brush or brush-and-grass mixture fire,6.17
2012-08-07 02:29:00 UTC,311,Medical assist  assist EMS crew,6.0
2012-08-07 00:02:00 UTC,311,Medical assist  assist EMS crew,8.0
2012-08-06 16:19:00 UTC,323,Motor vehicle/pedestrian accident (MV Ped),3.0
2012-08-06 16:16:00 UTC,143,Grass fire,14.0
2012-08-04 10:26:17 UTC,900,Special type of incident  Other,4.12
2012-08-03 11:00:41 UTC,311,Medical assist  assist EMS crew,1.8
2012-08-01 09:55:06 UTC,131,Passenger vehicle fire,5.82
2012-07-30 16:43:31 UTC,311,Medical assist  assist EMS crew,16.6
2012-07-29 15:52:49 UTC,743,Smoke detector activation  no fire - unintentional,9.12
2012-07-29 14:57:41 UTC,311,Medical assist  assist EMS crew,4.82
2012-07-29 12:46:07 UTC,311,Medical assist  assist EMS crew,6.33
2012-07-28 16:40:00 UTC,311,Medical assist  assist EMS crew,8.0
2012-07-28 10:29:00 UTC,733,Smoke detector activation due to malfunction,4.0
2012-07-28 05:52:00 UTC,322,Motor vehicle accident with injuries,5.0
2012-07-27 16:34:46 UTC,321,EMS call  excluding vehicle accident with injury,3.6
2012-07-27 15:32:54 UTC,322,Motor vehicle accident with injuries,1.72
2012-07-26 16:49:17 UTC,600,Good intent call  Other,0.72
2012-07-26 16:18:43 UTC,321,EMS call  excluding vehicle accident with injury,4.55
2012-07-26 08:31:02 UTC,311,Medical assist  assist EMS crew,7.17
2012-07-25 18:00:00 UTC,322,Motor vehicle accident with injuries,0.4
2012-07-24 20:13:05 UTC,733,Smoke detector activation due to malfunction,13.4
2012-07-23 08:01:03 UTC,710,Malicious  mischievous false call  Other,7.1
2012-07-21 16:15:05 UTC,713,Telephone  malicious false alarm,6.83
2012-07-21 14:55:36 UTC,311,Medical assist  assist EMS crew,0.4
2012-07-21 05:23:28 UTC,311,Medical assist  assist EMS crew,2.95
2012-07-20 11:21:31 UTC,321,EMS call  excluding vehicle accident with injury,8.47
2012-07-20 10:13:34 UTC,321,EMS call  excluding vehicle accident with injury,6.85
2012-07-20 06:31:31 UTC,300,Rescue  EMS incident  other,5.45
2012-07-19 22:50:20 UTC,111,Building fire,9.98
2012-07-19 20:03:00 UTC,700,False alarm or false call  Other,3.0
2012-07-19 12:51:00 UTC,311,Medical assist  assist EMS crew,13.0
2012-07-19 12:47:48 UTC,321,EMS call  excluding vehicle accident with injury,3.77
2012-07-18 00:36:38 UTC,311,Medical assist  assist EMS crew,9.92
2012-07-17 19:00:33 UTC,322,Motor vehicle accident with injuries,6.43
2012-07-17 16:46:52 UTC,311,Medical assist  assist EMS crew,3.75
2012-07-17 12:45:19 UTC,321,EMS call  excluding vehicle accident with injury,3.73
2012-07-16 23:01:00 UTC,311,Medical assist  assist EMS crew,8.0
2012-07-15 19:39:18 UTC,311,Medical assist  assist EMS crew,5.53
2012-07-15 01:49:30 UTC,745,Alarm system activation  no fire - unintentional,6.25
2012-07-14 12:06:59 UTC,1601,Transformer Fire,1.98
2012-07-14 11:39:34 UTC,311,Medical assist  assist EMS crew,5.5
2012-07-14 07:45:13 UTC,311,Medical assist  assist EMS crew,7.33
2012-07-13 10:22:00 UTC,321,EMS call  excluding vehicle accident with injury,5.0
2012-07-11 22:44:59 UTC,311,Medical assist  assist EMS crew,5.82
2012-07-11 10:41:29 UTC,321,EMS call  excluding vehicle accident with injury,5.0
2012-07-10 23:42:34 UTC,734,Heat detector activation due to malfunction,6.52
2012-07-10 17:47:00 UTC,321,EMS call  excluding vehicle accident with injury,0.4
2012-07-10 17:02:00 UTC,322,Motor vehicle accident with injuries,3.0
2012-07-09 18:12:52 UTC,561,Unauthorized burning,0.4
2012-07-09 17:45:50 UTC,311,Medical assist  assist EMS crew,6.72
2012-07-08 17:25:05 UTC,551,Assist police or other governmental agency,14.7
2012-07-07 05:47:09 UTC,311,Medical assist  assist EMS crew,14.35
2012-07-06 19:36:20 UTC,412,Gas leak (natural gas or LPG),8.82
2012-07-05 19:00:46 UTC,100,Fire  Other,2.33
2012-07-05 00:22:00 UTC,100,Fire  Other,6.0
2012-07-02 23:06:52 UTC,700,False alarm or false call  Other,7.97
2012-07-01 09:21:00 UTC,311,Medical assist  assist EMS crew,7.0
2012-06-30 18:33:10 UTC,151,Outside rubbish  trash or waste fire,14.83
2012-06-30 16:06:21 UTC,700,False alarm or false call  Other,2.58
2012-06-30 15:51:42 UTC,322,Motor vehicle accident with injuries,1.77
2012-06-30 08:40:02 UTC,300,Rescue  EMS incident  other,5.38
2012-06-30 03:34:15 UTC,322,Motor vehicle accident with injuries,4.32
2012-06-29 17:43:09 UTC,322,Motor vehicle accident with injuries,2.43
2012-06-29 06:03:00 UTC,311,Medical assist  assist EMS crew,8.0
2012-06-28 21:32:00 UTC,322,Motor vehicle accident with injuries,8.0
2012-06-28 11:03:50 UTC,321,EMS call  excluding vehicle accident with injury,3.3
2012-06-25 20:29:00 UTC,311,Medical assist  assist EMS crew,5.0
2012-06-25 00:00:37 UTC,311,Medical assist  assist EMS crew,5.65
2012-06-24 20:29:31 UTC,151,Outside rubbish  trash or waste fire,12.37
2012-06-24 16:53:05 UTC,745,Alarm system activation  no fire - unintentional,7.33
2012-06-24 13:06:59 UTC,150,Outside rubbish fire  Other,10.88
2012-06-23 12:28:11 UTC,321,EMS call  excluding vehicle accident with injury,8.13
2012-06-22 15:17:50 UTC,321,EMS call  excluding vehicle accident with injury,2.17
2012-06-22 12:06:10 UTC,311,Medical assist  assist EMS crew,7.55
2012-06-22 08:06:00 UTC,413,Oil or other combustible liquid spill,11.0
2012-06-21 21:15:52 UTC,311,Medical assist  assist EMS crew,6.3
2012-06-21 15:35:42 UTC,463,Vehicle accident  general cleanup,3.9
2012-06-21 15:35:42 UTC,322,Motor vehicle accident with injuries,4.08
2012-06-21 00:44:13 UTC,300,Rescue  EMS incident  other,6.5
2012-06-20 11:37:55 UTC,400,Hazardous condition  Other,0.4
2012-06-20 08:58:46 UTC,352,Extrication of victim(s) from vehicle,4.67
2012-06-19 15:00:42 UTC,321,EMS call  excluding vehicle accident with injury,5.93
2012-06-18 16:12:44 UTC,743,Smoke detector activation  no fire - unintentional,7.15
2012-06-18 09:20:08 UTC,700,False alarm or false call  Other,3.45
2012-06-17 22:29:21 UTC,311,Medical assist  assist EMS crew,3.33
2012-06-17 21:46:37 UTC,700,False alarm or false call  Other,3.23
2012-06-17 20:40:05 UTC,400,Hazardous condition  Other,8.92
2012-06-15 19:35:00 UTC,311,Medical assist  assist EMS crew,9.0
2012-06-14 07:07:25 UTC,311,Medical assist  assist EMS crew,7.23
2012-06-13 15:23:00 UTC,151,Outside rubbish  trash or waste fire,2.0
2012-06-13 11:06:22 UTC,311,Medical assist  assist EMS crew,3.98
2012-06-13 09:27:54 UTC,321,EMS call  excluding vehicle accident with injury,3.32
2012-06-12 20:25:00 UTC,324,Motor Vehicle Accident with no injuries,1.0
2012-06-12 20:22:00 UTC,324,Motor Vehicle Accident with no injuries,0.4
2012-06-12 11:10:00 UTC,311,Medical assist  assist EMS crew,0.4
2012-06-12 08:50:56 UTC,311,Medical assist  assist EMS crew,5.77
2012-06-11 23:19:14 UTC,324,Motor Vehicle Accident with no injuries,10.35
2012-06-10 21:16:00 UTC,321,EMS call  excluding vehicle accident with injury,7.0
2012-06-10 14:17:00 UTC,111,Building fire,15.0
2012-06-10 05:56:23 UTC,311,Medical assist  assist EMS crew,6.83
2012-06-10 04:04:45 UTC,311,Medical assist  assist EMS crew,9.77
2012-06-09 16:36:48 UTC,463,Vehicle accident  general cleanup,0.4
2012-06-08 20:18:57 UTC,561,Unauthorized burning,4.32
2012-06-07 15:11:18 UTC,321,EMS call  excluding vehicle accident with injury,2.13
2012-06-07 14:54:29 UTC,700,False alarm or false call  Other,1.4
2012-06-07 13:18:04 UTC,900,Special type of incident  Other,3.93
2012-06-07 09:06:03 UTC,553,Public service,9.63
2012-06-05 15:16:44 UTC,324,Motor Vehicle Accident with no injuries,8.77
2012-06-05 09:22:23 UTC,600,Good intent call  Other,3.58
2012-06-01 20:09:21 UTC,324,Motor Vehicle Accident with no injuries,1.18
2012-06-01 12:43:52 UTC,700,False alarm or false call  Other,3.75
2012-05-30 12:00:00 UTC,324,Motor Vehicle Accident with no injuries,0.4
2012-05-29 21:00:37 UTC,322,Motor vehicle accident with injuries,3.2
2012-05-29 16:01:29 UTC,900,Special type of incident  Other,9.08
2012-05-29 13:31:35 UTC,324,Motor Vehicle Accident with no injuries,6.35
2012-05-29 10:30:18 UTC,500,Service Call  other,1.75
2012-05-29 00:49:49 UTC,311,Medical assist  assist EMS crew,9.58
2012-05-28 23:16:06 UTC,324,Motor Vehicle Accident with no injuries,10.98
2012-05-28 16:55:22 UTC,321,EMS call  excluding vehicle accident with injury,2.25
2012-05-27 22:56:49 UTC,324,Motor Vehicle Accident with no injuries,3.85
2012-05-26 11:42:37 UTC,311,Medical assist  assist EMS crew,6.53
2012-05-26 06:41:36 UTC,311,Medical assist  assist EMS crew,7.7
2012-05-25 16:46:00 UTC,463,Vehicle accident  general cleanup,1.0
2012-05-24 18:08:32 UTC,400,Hazardous condition  Other,5.78
2012-05-24 17:30:38 UTC,311,Medical assist  assist EMS crew,2.77
2012-05-24 10:57:00 UTC,561,Unauthorized burning,0.4
2012-05-24 10:45:53 UTC,142,Brush or brush-and-grass mixture fire,0.08
2012-05-23 16:35:00 UTC,321,EMS call  excluding vehicle accident with injury,0.4
2012-05-23 16:24:00 UTC,321,EMS call  excluding vehicle accident with injury,2.0
2012-05-23 11:45:00 UTC,900,Special type of incident  Other,3.0
2012-05-22 21:45:01 UTC,311,Medical assist  assist EMS crew,10.72
2012-05-22 17:48:54 UTC,311,Medical assist  assist EMS crew,4.97
2012-05-22 16:31:26 UTC,311,Medical assist  assist EMS crew,2.82
2012-05-21 17:48:41 UTC,550,Public service assistance  Other,0.4
2012-05-21 13:42:46 UTC,440,Electrical  wiring/equipment problem  Other,11.32
2012-05-21 05:27:12 UTC,311,Medical assist  assist EMS crew,10.08
2012-05-18 21:36:59 UTC,150,Outside rubbish fire  Other,4.53
2012-05-18 20:15:10 UTC,311,Medical assist  assist EMS crew,3.47
2012-05-18 20:01:49 UTC,311,Medical assist  assist EMS crew,8.47
2012-05-18 16:26:28 UTC,151,Outside rubbish  trash or waste fire,5.73
2012-05-18 08:54:59 UTC,321,EMS call  excluding vehicle accident with injury,5.55
2012-05-16 11:12:44 UTC,321,EMS call  excluding vehicle accident with injury,2.67
2012-05-16 02:26:31 UTC,311,Medical assist  assist EMS crew,7.0
2012-05-15 13:16:27 UTC,440,Electrical  wiring/equipment problem  Other,6.08
2012-05-14 18:05:31 UTC,321,EMS call  excluding vehicle accident with injury,4.48
2012-05-13 00:07:33 UTC,671,HazMat release investigation w/no HazMat,7.4
2012-05-12 06:27:54 UTC,322,Motor vehicle accident with injuries,5.28
2012-05-12 02:47:23 UTC,735,Alarm system sounded due to malfunction,8.28
2012-05-11 23:27:52 UTC,311,Medical assist  assist EMS crew,6.85
2012-05-11 23:17:26 UTC,311,Medical assist  assist EMS crew,5.8
2012-05-11 22:39:53 UTC,311,Medical assist  assist EMS crew,7.53
2012-05-11 21:44:08 UTC,700,False alarm or false call  Other,2.02
2012-05-11 16:18:09 UTC,111,Building fire,3.9
2012-05-11 15:24:29 UTC,321,EMS call  excluding vehicle accident with injury,2.75
2012-05-11 13:14:05 UTC,311,Medical assist  assist EMS crew,3.25
2012-05-10 21:30:01 UTC,151,Outside rubbish  trash or waste fire,7.42
2012-05-10 19:39:12 UTC,112,Fires in structure other than in a building,5.57
2012-05-10 16:39:38 UTC,500,Service Call  other,14.37
2012-05-10 09:03:17 UTC,400,Hazardous condition  Other,0.4
2012-05-09 20:43:36 UTC,130,Mobile property (vehicle) fire  Other,4.87
2012-05-09 08:52:37 UTC,321,EMS call  excluding vehicle accident with injury,5.58
2012-05-08 23:26:45 UTC,142,Brush or brush-and-grass mixture fire,6.58
2012-05-08 10:38:37 UTC,553,Public service,11.4
2012-05-07 08:17:59 UTC,322,Motor vehicle accident with injuries,3.75
2012-05-06 13:55:27 UTC,100,Fire  Other,2.35
2012-05-06 08:58:14 UTC,311,Medical assist  assist EMS crew,9.78
2012-05-05 16:35:56 UTC,600,Good intent call  Other,4.7
2012-05-05 12:49:44 UTC,311,Medical assist  assist EMS crew,7.48
2012-05-04 21:02:24 UTC,550,Public service assistance  Other,0.27
2012-05-02 14:22:49 UTC,311,Medical assist  assist EMS crew,2.8
2012-05-01 05:48:55 UTC,311,Medical assist  assist EMS crew,7.45
2012-04-30 19:02:20 UTC,311,Medical assist  assist EMS crew,4.95
2012-04-30 11:46:29 UTC,311,Medical assist  assist EMS crew,9.83
2012-04-30 08:05:13 UTC,311,Medical assist  assist EMS crew,7.13
2012-04-29 20:30:33 UTC,311,Medical assist  assist EMS crew,10.72
2012-04-29 03:42:17 UTC,321,EMS call  excluding vehicle accident with injury,5.05
2012-04-28 20:18:01 UTC,550,Public service assistance  Other,0.4
2012-04-28 19:45:23 UTC,444,Power line down,10.65
2012-04-28 19:38:41 UTC,150,Outside rubbish fire  Other,11.02
2012-04-28 11:53:35 UTC,322,Motor vehicle accident with injuries,1.17
2012-04-27 09:08:40 UTC,300,Rescue  EMS incident  other,7.03
2012-04-27 00:02:35 UTC,311,Medical assist  assist EMS crew,8.55
2012-04-26 08:05:35 UTC,311,Medical assist  assist EMS crew,7.82
2012-04-25 13:16:10 UTC,311,Medical assist  assist EMS crew,0.95
2012-04-25 12:46:12 UTC,352,Extrication of victim(s) from vehicle,6.47
2012-04-24 20:08:47 UTC,321,EMS call  excluding vehicle accident with injury,9.28
2012-04-23 19:16:12 UTC,322,Motor vehicle accident with injuries,0.17
2012-04-23 18:44:16 UTC,311,Medical assist  assist EMS crew,2.08
2012-04-21 15:18:31 UTC,311,Medical assist  assist EMS crew,3.37
2012-04-20 13:49:20 UTC,321,EMS call  excluding vehicle accident with injury,5.63
2012-04-20 08:49:10 UTC,311,Medical assist  assist EMS crew,4.25
2012-04-18 11:37:36 UTC,321,EMS call  excluding vehicle accident with injury,0.4
2012-04-18 01:33:54 UTC,700,False alarm or false call  Other,2.27
2012-04-17 15:04:16 UTC,311,Medical assist  assist EMS crew,8.67
2012-04-15 04:03:24 UTC,321,EMS call  excluding vehicle accident with injury,7.2
2012-04-15 03:22:27 UTC,600,Good intent call  Other,1.95
2012-04-14 20:43:55 UTC,130,Mobile property (vehicle) fire  Other,3.68
2012-04-11 06:56:58 UTC,511,Lock-out,8.03
2012-04-10 10:42:30 UTC,321,EMS call  excluding vehicle accident with injury,8.25
2012-04-10 03:22:11 UTC,311,Medical assist  assist EMS crew,8.63
2012-04-09 19:30:31 UTC,311,Medical assist  assist EMS crew,8.37
2012-04-08 03:10:06 UTC,463,Vehicle accident  general cleanup,8.2
2012-04-07 01:02:32 UTC,311,Medical assist  assist EMS crew,4.75
2012-04-06 15:21:27 UTC,300,Rescue  EMS incident  other,6.0
2012-04-06 06:18:18 UTC,311,Medical assist  assist EMS crew,7.62
2012-04-05 12:59:34 UTC,311,Medical assist  assist EMS crew,11.93
2012-04-04 22:39:23 UTC,400,Hazardous condition  Other,2.82
2012-04-04 10:34:12 UTC,311,Medical assist  assist EMS crew,4.1
2012-04-03 21:39:09 UTC,322,Motor vehicle accident with injuries,3.38
2012-04-03 20:37:10 UTC,311,Medical assist  assist EMS crew,3.48
2012-04-03 19:47:41 UTC,500,Service Call  other,6.9
2012-04-02 18:10:46 UTC,321,EMS call  excluding vehicle accident with injury,7.25
2012-04-02 14:47:32 UTC,900,Special type of incident  Other,8.05
2012-04-01 19:34:07 UTC,700,False alarm or false call  Other,7.83
2012-03-31 16:26:08 UTC,311,Medical assist  assist EMS crew,6.78
2012-03-31 04:34:41 UTC,324,Motor Vehicle Accident with no injuries,6.07
2012-03-30 22:47:21 UTC,700,False alarm or false call  Other,10.88
2012-03-30 16:06:38 UTC,322,Motor vehicle accident with injuries,5.23
2012-03-30 15:08:31 UTC,321,EMS call  excluding vehicle accident with injury,8.33
2012-03-30 14:31:07 UTC,321,EMS call  excluding vehicle accident with injury,6.13
2012-03-29 16:35:09 UTC,321,EMS call  excluding vehicle accident with injury,4.0
2012-03-29 14:40:34 UTC,321,EMS call  excluding vehicle accident with injury,3.28
2012-03-28 16:29:37 UTC,311,Medical assist  assist EMS crew,8.57
2012-03-28 12:52:46 UTC,322,Motor vehicle accident with injuries,19.6
2012-03-27 19:31:16 UTC,322,Motor vehicle accident with injuries,3.22
2012-03-27 12:36:34 UTC,800,Severe weather or natural disaster  Other,0.4
2012-03-25 21:20:21 UTC,661,EMS call  party transported by non-fire agency,7.77
2012-03-25 15:27:59 UTC,142,Brush or brush-and-grass mixture fire,0.32
2012-03-24 22:10:03 UTC,150,Outside rubbish fire  Other,3.45
2012-03-23 15:21:09 UTC,111,Building fire,8.52
2012-03-23 12:21:42 UTC,321,EMS call  excluding vehicle accident with injury,5.37
2012-03-23 07:19:05 UTC,300,Rescue  EMS incident  other,9.1
2012-03-22 16:29:19 UTC,622,No Incident found on arrival at dispatch address,5.07
2012-03-22 05:42:38 UTC,311,Medical assist  assist EMS crew,4.22
2012-03-21 12:25:00 UTC,311,Medical assist  assist EMS crew,7.0
2012-03-20 17:40:36 UTC,324,Motor Vehicle Accident with no injuries,4.97
2012-03-20 15:29:09 UTC,900,Special type of incident  Other,5.4
2012-03-20 11:26:35 UTC,321,EMS call  excluding vehicle accident with injury,3.52
2012-03-18 19:58:13 UTC,311,Medical assist  assist EMS crew,3.2
2012-03-18 17:17:20 UTC,311,Medical assist  assist EMS crew,3.78
2012-03-18 14:29:02 UTC,142,Brush or brush-and-grass mixture fire,6.22
2012-03-18 11:39:32 UTC,311,Medical assist  assist EMS crew,5.73
2012-03-18 11:01:00 UTC,631,Authorized controlled burning,10.47
2012-03-18 09:30:13 UTC,321,EMS call  excluding vehicle accident with injury,10.3
2012-03-18 06:00:00 UTC,571,Cover assignment  standby  moveup,0.4
2012-03-16 20:00:27 UTC,531,Smoke or odor removal,6.58
2012-03-16 09:48:42 UTC,551,Assist police or other governmental agency,8.52
2012-03-15 12:41:12 UTC,111,Building fire,2.3
2012-03-14 18:00:00 UTC,571,Cover assignment  standby  moveup,0.4
2012-03-14 15:57:04 UTC,352,Extrication of victim(s) from vehicle,4.62
2012-03-12 19:45:09 UTC,311,Medical assist  assist EMS crew,0.4
2012-03-12 18:50:13 UTC,311,Medical assist  assist EMS crew,7.52
2012-03-12 18:00:00 UTC,571,Cover assignment  standby  moveup,0.4
2012-03-10 21:26:35 UTC,321,EMS call  excluding vehicle accident with injury,6.98
2012-03-10 06:00:00 UTC,571,Cover assignment  standby  moveup,0.4
2012-03-09 17:37:19 UTC,400,Hazardous condition  Other,2.8
2012-03-09 11:35:33 UTC,311,Medical assist  assist EMS crew,9.8
2012-03-08 18:00:00 UTC,571,Cover assignment  standby  moveup,0.4
2012-03-07 18:00:00 UTC,571,Cover assignment  standby  moveup,0.4
2012-03-07 11:24:51 UTC,321,EMS call  excluding vehicle accident with injury,2.67
2012-03-06 20:58:46 UTC,311,Medical assist  assist EMS crew,3.62
2012-03-06 13:50:42 UTC,321,EMS call  excluding vehicle accident with injury,4.22
2012-03-06 06:40:13 UTC,311,Medical assist  assist EMS crew,4.37
2012-03-06 06:00:00 UTC,571,Cover assignment  standby  moveup,15.0
2012-03-06 03:05:18 UTC,111,Building fire,26.47
2012-03-04 23:06:57 UTC,311,Medical assist  assist EMS crew,4.57
2012-03-04 18:00:00 UTC,571,Cover assignment  standby  moveup,0.4
2012-03-04 05:45:00 UTC,571,Cover assignment  standby  moveup,15.0
2012-03-04 03:40:09 UTC,311,Medical assist  assist EMS crew,11.53
2012-03-03 23:28:18 UTC,311,Medical assist  assist EMS crew,9.22
2012-03-03 20:15:49 UTC,131,Passenger vehicle fire,8.83
2012-03-02 18:00:00 UTC,571,Cover assignment  standby  moveup,0.4
2012-03-02 12:47:08 UTC,352,Extrication of victim(s) from vehicle,2.5
2012-03-02 12:22:34 UTC,321,EMS call  excluding vehicle accident with injury,3.87
2012-03-01 11:20:36 UTC,300,Rescue  EMS incident  other,0.85
2012-03-01 03:36:44 UTC,322,Motor vehicle accident with injuries,3.52
2012-02-28 13:09:31 UTC,321,EMS call  excluding vehicle accident with injury,7.27
2012-02-28 07:30:32 UTC,311,Medical assist  assist EMS crew,3.7
2012-02-27 13:00:41 UTC,911,Citizen complaint,0.6
2012-02-27 09:11:40 UTC,131,Passenger vehicle fire,4.67
2012-02-26 17:31:00 UTC,651,Smoke scare  odor of smoke,6.0
2012-02-26 16:00:00 UTC,141,Forest  woods or wildland fire,27.0
2012-02-21 11:34:50 UTC,550,Public service assistance  Other,0.4
2012-02-21 02:55:30 UTC,311,Medical assist  assist EMS crew,2.28
2012-02-20 19:54:58 UTC,311,Medical assist  assist EMS crew,7.38
2012-02-20 16:56:26 UTC,321,EMS call  excluding vehicle accident with injury,2.3
2012-02-20 14:46:39 UTC,911,Citizen complaint,4.75
2012-02-20 04:03:55 UTC,311,Medical assist  assist EMS crew,11.3
2012-02-19 08:56:32 UTC,111,Building fire,11.6
2012-02-18 14:40:12 UTC,143,Grass fire,5.08
2012-02-17 18:42:54 UTC,700,False alarm or false call  Other,7.28
2012-02-17 14:24:43 UTC,311,Medical assist  assist EMS crew,7.27
